article_incident_title,incday,incmo,incyr,case_status,region_psgc,province_psgc,municipality_psgc,city_psgc,manifestation_code1,incident_causes_code1,geo_tag_longitude,geo_tag_latitude,,
2 Lanao Sur town officials turn over loose firearms,1,8,2020,-98,150000000,153600000,153625000,-99,2037,8008,124.2598951,8.051947966,,
"2 LTO employees killed in Brgy. Poblacion 2, Cotabato City (2 taga-LTO itinumba)",15,3,2011,-98,120000000,-99,-99,129804000,2031,-98,124.2559866,7.217648808,,
2 Marines hurt in Sulu clash,6,4,2013,3,150000000,156600000,156613000,-99,927,5008,121.1022942,5.9521498,,
2 Maute men yield,26,1,2020,-98,150000000,153600000,153621000,-99,2037,3015,124.1822968,7.959216256,,
2 Maute remnants surrender in Lanao del Sur,3,12,2018,-98,150000000,153600000,153628000,-99,2042,3015,124.0817998,7.687293617,,
2 Maute-ISIS members yield,11,1,2019,-98,150000000,153600000,153620000,-99,2037,3015,124.0819861,7.773529535,,
2 members of armed lawless group killed in encounter ( 2 ALG patay sa engkuwentro),19,8,2020,2,150000000,153800000,153803000,-99,2031,5009,124.8353179,6.720606242,,
"2 members of drug syndicate in Maguindanao arrested (2 miyembro ng drug syndicate sa Maguindanao, ar",28,2,2018,3,150000000,153800000,153812000,-99,2036,8004,124.329131,7.283312485,,
2 men gun municipal assessor,8,3,2017,3,120000000,-99,-99,129804000,2031,-98,124.2574471,7.220192174,,
"2 men gunned down in Indanan, Sulu",24,8,2015,3,150000000,156600000,156601000,-99,2031,-98,120.9911201,6.036994755,,
2 men wounded in shooting (2 lalaki sugatan sa pamamaril),26,11,2018,3,150000000,153800000,153812000,-99,2031,-98,124.3076389,7.269439902,,
2 MILF base commands clash (2 base command sa MILF nagpinatyanay),26,2,2018,3,150000000,153800000,153826000,-99,2031,5002,124.465993,6.976280188,,
"2 MILF commanders clash in Brgy. Barurao, Sultan Sa Barongis, Maguindanao",8,11,2016,3,150000000,153800000,153813000,-99,927,3006,124.6008607,6.882561531,,
"2 MILF commanders clash in Brgy. Montay, Northern Kabintalan, Maguindanao",19,11,2016,3,150000000,153800000,153834000,-99,927,3006,124.4371286,7.121222962,,
"2 MILF commanders clash in Maguindanao (2 kumander sa MILF subling nagsugat, nagpinikhanay)",21,3,2017,-98,150000000,153800000,153813000,-99,2031,7004,124.6008607,6.882561531,,
"2 MILF commanders in shootout (2 kumander sa MILF, nag-unay g pinusilay)",5,3,2017,-98,150000000,153800000,153825000,-99,927,7004,124.3865392,6.954103,,
"2 MILF families clash in Pagalungan, Maguindanao (2 pamilya sa MILF nagbirahanay)",1,8,2014,3,150000000,153800000,153810000,-99,927,3006,124.7519807,6.9692802,,
2 MILF members wounded in clash in Maguindanao (2 MILF member sugatan sa engkwentro sa Maguindanao),1,12,2019,-98,150000000,153800000,153816000,-99,927,-98,124.4106937,7.020310631,,
2 MILF men killed in clash with Army,14,2,2011,-98,150000000,153800000,153832000,-99,927,7004,124.86286,6.676350039,,
"2 military boats destroyed by rocket-propelled grenade in Datu Anggal Midtimbang, Maguindanao (2 speed boat sa military naigo sa RPG nabungkag?)",21,11,2016,3,150000000,153800000,153831000,-99,927,5017,124.4436831,7.01895412,,
"2 military detachments attacked, 4 BIFF members killed (2 detachment sa militar gisulong, 4 BIFF patay)",20,7,2014,3,150000000,153800000,153806000,-99,927,5008,124.5102959,7.014152426,,
2 minor Maute militants surrender in Cotabato,23,12,2018,-98,120000000,-99,-99,129804000,2042,5017,124.2534069,7.216784846,,
"2 MNLF factions figure in Maguindanao clash (Brgy. Ganasi, Upi and Brgy. Lamud, South Upi, Maguindanao)",21,5,2013,3,150000000,153800000,153815000,-99,927,5011,124.1737093,6.938882416,,
2 MNLF factions in deadly Sulu showdown ,8,8,2020,-98,150000000,156600000,156609000,-99,927,3015,120.8942115,5.973312471,,
2 more hurt in another ambush in Cotabato City,26,2,2020,9,120000000,-99,-99,129804000,905,-98,124.2353465,7.201788887,,
2 Moro fronts clash (2 Moro fronts nagkasabay),7,3,2019,-98,150000000,153800000,153807000,-99,927,5002,124.3024731,7.005649678,,
"2 most wanted persons, 6 others nabbed",18,8,2020,2,90000000,-99,-99,99701000,2036,2013,121.9689345,6.688683599,,
"2 Muslim women defend Christians in Marawi City, Lanao del Sur",23,5,2017,3,150000000,153600000,-99,153617000,917,5017,124.2707616,8.005966796,,
2 nabbed for illegal quarrying,18,3,2018,2,90000000,-99,-99,99701000,2036,7001,122.0196699,6.722955007,,
"2 persons shot dead in Brgy. Labu-Labu 2, Datu Hoffer Ampatuan, Maguindanao (2 tawo gipaarakan og mga bala, patay) ",22,8,2016,3,150000000,153800000,153835000,-99,2031,-98,124.4508038,6.842607446,,
"2 pushers, barangay chairman arrested (2 pusher gidakop; kapitan apil g posas)",6,8,2020,4,150000000,153800000,153812000,-99,2036,8004,124.2641271,7.210206648,,
"2 rangers, 5 Abus killed in Sulu clash",24,2,2015,3,150000000,156600000,156611000,-99,927,5008,121.0661577,6.078396055,,
2 Sayyaf kidnap victims freed,1,11,2018,3,150000000,156600000,156607000,-99,915,5017,121.1721245,6.008079217,,
2 Sayyaf men killed in Sulu,9,12,2017,3,150000000,156600000,156611000,-99,927,5017,121.0333653,6.038444204,,
2 Sayyaf sub-leaders wounded in Sulu clash,28,8,2015,3,150000000,156600000,156611000,-99,927,5008,121.0333653,6.038444204,,
2 Sayyafs surrender,18,9,2019,-98,150000000,156600000,156605000,-99,2042,3015,121.0124922,5.966588429,,
2 shot dead in Cotabato City (2 patay sa pagpamusil) ,30,11,2011,-98,120000000,-99,-99,129804000,2031,-98,124.2310439,7.2046668,,
"2 slain, 2 hurt in explosion of improvised explosive device (IED) in Datu Odin Sinsuat, Maguindanao",15,12,2011,3,150000000,153800000,153807000,-99,926,5009,124.3180412,7.017247023,,
2 snatchers apprehended for illegal possession of firearms,28,6,2013,3,150000000,153800000,153807000,-99,2037,8008,124.2866091,7.062732,,
2 soldiers escape bombing attempt (2 sundalo nakaligtas sa panghahagis ng granada sa karenderya),2,12,2019,-98,120000000,-99,-99,129804000,2037,8008,124.2466,7.203677434,,
2 soldiers hurt in Sulu attack,5,2,2015,3,150000000,156600000,156611000,-99,927,5008,121.0507561,6.025493583,,
"2 soldiers killed in encounter given military honors (2 sundalo patay sa engkwentro, gihatagan og military honors)",3,1,2015,3,150000000,153800000,153812000,-99,927,2014,124.7077665,6.8278241,,
2 soldiers killed in Sulu ambush,9,8,2015,3,150000000,156600000,156611000,-99,905,5008,121.0333653,6.038444204,,
